Candidate,Election Status,Status of Candidate,Specific Party,General Party,Election Jurisdiction,Election Year,Election Type,Office Sought,Incumbency Status,# of Records,Total $
"HOLLOMAN, DARRYL",LOST-GENERAL,LOST,LIBERTARIAN,THIRD-PARTY,NC,2010,STANDARD,US HOUSE DISTRICT NC 003,CHALLENGER,3.00,355.00
"JONES, WALTER B",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 003,INCUMBENT,827.00,649372.00
"ROUSE, JOHNNY G",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 003,CHALLENGER,18.00,9702.00
"WEBER, CRAIG",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 003,CHALLENGER,2.00,2181.00
"BURNETT, DAVID",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 004,OPEN,13.00,12825.00
"HUTCHINS, GEORGE FRANK",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 004,OPEN,2.00,0.00
"LAWSON, WILLIAM (BJ)",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 004,CHALLENGER,672.00,466447.00
"PRICE, DAVID E",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 004,INCUMBENT,1290.00,980731.00
"ROCHE, FRANCIS XAVIER (FRANK)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 004,OPEN,176.00,94711.00
"FOXX, VIRGINIA",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 005,INCUMBENT,1215.00,832784.00
"GARDNER, KEITH",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 005,CHALLENGER,0.00,0.00
"KENNEDY, BILLY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 005,CHALLENGER,612.00,338870.00
"COBLE, HOWARD",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 006,INCUMBENT,482.00,485848.00
"HINSON, CATHY BREWER",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 006,CHALLENGER,0.00,0.00
"MANGIN, JON",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 006,CHALLENGER,9.00,5250.00
"PHILLIPS, JEFFREY MARLIN (JEFF)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 006,CHALLENGER,15.00,8648.00
"TAYLOR, JAMES",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 006,CHALLENGER,47.00,122990.00
"TURNER, SAM",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 006,CHALLENGER,7.00,2775.00
"YOW, BILLY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 006,CHALLENGER,62.00,64471.00
"BREAZEALE, WILLIAM JAMES",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 007,OPEN,62.00,51059.00
"CROW, RANDY",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 007,OPEN,0.00,0.00
"MCINTYRE, MIKE",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NC,2010,STANDARD,US HOUSE DISTRICT NC 007,INCUMBENT,1444.00,1307806.00
"PANTANO, ILARIO GREGORY",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 007,CHALLENGER,1314.00,1234707.00
"CORNELISON, LEE",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 008,OPEN,27.00,20531.00
"DANNUNZIO, TIMOTHY BRUCE",LOST-PRIMARY RUNOFF,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 008,OPEN,283.00,1551056.00
"DAY, DARRELL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NC,2010,STANDARD,US HOUSE DISTRICT NC 008,OPEN,12.00,25789.00
"GRAVES, ANTHONY W",LOST-GENERAL,LOST,WRITEIN,THIRD-PARTY,NC,2010,STANDARD,US HOUSE DISTRICT NC 008,CHALLENGER,0.00,0.00
